trial	parent	stage	val_bpb	training_seconds	status	description
t0010	t0009	debug	0.978165	300.050000	keep	Debug repair of t0009 with the mechanism intact. The cu_seqlens construction moves into a module-level build_varlen helper; the training loop calls it eagerly, applies torch._dynamo.mark_dynamic to the varying dimension there, and passes the descriptor into the compiled model through a new trailing varlen keyword on GPT.forward. When varlen is not supplied, forward still builds it internally, which keeps the locked evaluator path document-masked since prepare.evaluate_bpb calls model(x, y, reduction=none) and cannot pass the extra argument. Attention still uses flash_attn_varlen_func with per-document boundaries; capacity, dense value embeddings, batch, learning rates, windows and schedules are untouched.
t0011	t0010	explore	0.978684	300.100000	discard	One constant changed on champion t0010: WINDOW_PATTERN from SSSL to S. Because _compute_window_sizes cycles the pattern across layers and then unconditionally forces the final layer to the full window, this yields seven 512-token short layers plus one full-context layer, instead of six short and two full. Capacity, HEAD_DIM, dense value embeddings, document masking, batch 2**18, learning rates and every schedule are unchanged.
t0012	t0010	refine	0.977934	300.050000	keep	One learning rate changed on champion t0010: EMBEDDING_LR 0.4243 back to 0.6, which drives both transformer.wte and all eight value embeddings. UNEMBEDDING_LR stays 0.002828 and MATRIX_LR stays 0.02828, so the square-root rescale remains in force for the other two groups. Batch 2**18, document masking, dense value embeddings, the SSSL pattern with the 512-token short window, capacity and every schedule are unchanged.
t0013	t0012	explore	0.974229	300.050000	keep	Capacity increase on champion t0012: DEPTH 8 to 10 with ASPECT_RATIO 64 to 51, chosen so that build_model_config still rounds to a model_dim of exactly 512 with 4 heads of width 128. Width, HEAD_DIM, document masking, dense value embeddings (now on all ten layers), batch 2**18, the learning rates and every schedule are unchanged, so depth is the only variable. Matrix parameters rise about 25 percent to 31.5M and value embeddings to 41.9M.
t0014	t0013	recombine	0.974842	300.100000	discard	One learning rate changed on champion t0013: EMBEDDING_LR 0.6 to 0.8, driving transformer.wte and all ten value embeddings. UNEMBEDDING_LR stays 0.002828 and MATRIX_LR stays 0.02828. Depth 10, width 512, document masking, dense value embeddings, batch 2**18 and every schedule are unchanged, so the embedding rate is the only variable and the result is directly comparable to the 0.4243 versus 0.6 comparison at depth 8.
t0015	t0013	explore	0.978027	300.000000	discard	One constant changed on champion t0013: ASPECT_RATIO 51 to 64, so at DEPTH 10 the model_dim becomes exactly 640 with 5 heads of width 128 rather than 512 with 4 heads. Depth stays 10, and document masking, dense value embeddings, HEAD_DIM, batch 2**18, the learning rates and every schedule are unchanged. Matrix parameters rise about 56 percent to roughly 49M and per-layer attention cost rises with the wider residual stream.
t0016	t0013	refine	0.973422	300.100000	keep	Capacity increase on champion t0013 along the axis that paid: DEPTH 10 to 12 with ASPECT_RATIO 51 to 42, chosen so build_model_config still rounds to a model_dim of exactly 512 with 4 heads of width 128. Width, HEAD_DIM, document masking, dense value embeddings (now 12 tables), batch 2**18, the learning rates and every schedule are unchanged, so depth is again the only variable. Matrix parameters rise about 20 percent and the value-embedding block grows to roughly 50M.
t0017	t0016	refine	0.973371	300.150000	keep	One learning rate changed on champion t0016: MATRIX_LR 0.02828 to 0.0231, which is the existing 1/sqrt(2) batch rescale multiplied by a further sqrt(8/12) depth correction. EMBEDDING_LR stays 0.6, UNEMBEDDING_LR stays 0.002828, and depth 12, width 512, document masking, dense value embeddings, batch 2**18 and every schedule are unchanged, so the Muon rate is the only variable.
t0018	t0017	refine	0.974383	300.000000	discard	One constant changed on champion t0017: WEIGHT_DECAY 0.2 to 0.1. It enters through get_weight_decay, which linearly decays it to zero across the run and applies it as the cautious decay term inside muon_step_fused, so only the Muon matrix groups are affected; the AdamW groups already run at weight_decay 0. Depth 12, width 512, document masking, dense value embeddings, batch 2**18, all three learning rates and every other schedule are unchanged.
t0019	t0017	refine	0.973547	300.200000	discard	One constant changed on champion t0017: WEIGHT_DECAY 0.2 to 0.3, entering through get_weight_decay, which decays it linearly to zero over the run and applies it as the sign-masked cautious decay inside muon_step_fused. Only the Muon matrix groups are affected since the AdamW groups run at weight_decay 0. Depth 12, width 512, document masking, dense value embeddings, batch 2**18, all learning rates and every other schedule are unchanged.
t0020	t0017	explore	0.974838	300.200000	discard	One constant changed on champion t0017: WARMDOWN_RATIO 0.5 to 0.8, reshaping get_lr_multiplier so the constant-rate phase runs to 20 percent of the time budget instead of 50 percent and the linear decay to zero occupies the remaining 80 percent. WARMUP_RATIO stays 0.0 and FINAL_LR_FRAC stays 0.0, so the schedule still starts at full rate and still ends at exactly zero. Depth 12, width 512, document masking, dense value embeddings, batch 2**18, all learning rates and WEIGHT_DECAY 0.2 are unchanged. Since the schedule is driven by elapsed training time rather than step index, the shape is unaffected by the step count.
t0021	t0017	recombine	0.974941	300.000000	discard	Capacity increase synthesising both elite lines: DEPTH 12 to 14 with ASPECT_RATIO 42 to 36, so build_model_config still rounds to model_dim 512 with 4 heads of width 128. MATRIX_LR is held at the t0017 value of 0.0231 rather than re-corrected for the new depth, which is exactly what the flatness result licenses. Width, document masking, dense value embeddings (now 14 tables), batch 2**18, the other learning rates, WEIGHT_DECAY 0.2 and every schedule are unchanged.
t0022	t0017	explore	0.975177	300.000000	discard	One function body reverted on champion t0017: has_ve returns to the upstream alternating rule, layer_idx modulo 2 equal to (n_layer - 1) modulo 2, instead of returning True for every layer. At depth 12 this halves the value-embedding tables from 12 to 6 and removes their ve_gate projections, cutting roughly 25M parameters and their optimizer state. Depth 12, width 512, document masking, batch 2**18, all learning rates, WEIGHT_DECAY 0.2 and every schedule are unchanged.
t0023	t0017	explore	0.973534	300.200000	discard	Optimizer change on champion t0017: setup_optimizer gains a value_embedding_lr argument that defaults to embedding_lr, so behaviour is unchanged when it is not supplied, and the existing value_embeds parameter group now uses it instead of embedding_lr. A new VALUE_EMBEDDING_LR constant is set to 0.9 and passed at the call site, while EMBEDDING_LR stays 0.6 for wte. No architecture, capacity, batching, masking or schedule changes: depth 12, width 512, document masking, dense value embeddings, batch 2**18, MATRIX_LR 0.0231, UNEMBEDDING_LR 0.002828 and WEIGHT_DECAY 0.2 all remain as in the champion.
t0024	t0017	explore	0.982521	300.200000	discard	Architectural change on champion t0017: a new skip_lambdas parameter of length n_layer//2, zero-initialised, added to the optimizer as its own AdamW scalar group with the same settings as x0_lambdas. GPT.forward stores the output of each of the first 6 layers and adds skip_lambdas[i - 6] times the paired encoder output into the input of each of the last 6 layers, pairing layer 6 with 5 through layer 11 with 0. The parameter-count assertion, FLOP estimate and scaling-parameter report are updated to include the new scalars. Depth 12, width 512, document masking, dense value embeddings, batch 2**18, all learning rates, WEIGHT_DECAY 0.2 and every schedule are unchanged.
t0025	t0017	explore	0.974106	300.000000	discard	Same architectural change as t0024, with one difference: the skip_lambdas AdamW group now uses lr = scalar_lr * 0.01, matching how resid_lambdas is treated, instead of the full scalar_lr that x0_lambdas gets. A zero-initialised skip_lambdas of length n_layer//2 is added, GPT.forward stores the first 6 layer outputs and adds skip_lambdas[i-6] times the paired encoder output into each of the last 6 layers, and the parameter-count assertion, FLOP estimate and scaling report are updated. Depth 12, width 512, document masking, dense value embeddings, batch 2**18, all learning rates, WEIGHT_DECAY 0.2 and every schedule are unchanged from champion t0017.
t0026	t0017	explore	0.974129	300.100000	discard	One constant changed on champion t0017: WARMDOWN_RATIO 0.5 to 0.35, so get_lr_multiplier holds the full rate until 65 percent of the time budget and then decays linearly to zero over the final 35 percent. WARMUP_RATIO stays 0.0 and FINAL_LR_FRAC stays 0.0, so the trajectory still starts at full rate and ends at exactly zero. The U-net skip mechanism from t0024 and t0025 is not carried forward. Depth 12, width 512, document masking, dense value embeddings, batch 2**18, all learning rates and WEIGHT_DECAY 0.2 are unchanged.
t0027	t0017	explore	0.973499	300.000000	discard	One constant changed on champion t0017: ADAM_BETAS from (0.8, 0.95) to (0.8, 0.98), leaving beta1 untouched. This affects the four groups that pass adam_betas through setup_optimizer: lm_head, wte, the value embeddings and resid_lambdas. The x0_lambdas group is unaffected because it hardcodes its own (0.96, 0.95). Muon and its separate NorMuon beta2 of 0.95 are untouched, as are depth 12, width 512, document masking, dense value embeddings, batch 2**18, all learning rates, WEIGHT_DECAY 0.2 and every schedule.
t0028	t0017	recombine	0.975732	300.200000	discard	One value changed on champion t0017: the terminal constant in get_muon_momentum from 0.95 to 0.98, so momentum still warms up from 0.85 across the first 300 steps but settles at 0.98 for the remainder of the run. The NorMuon second-moment beta2, which is a separate 0.95 set in setup_optimizer, is deliberately not touched, nor is MATRIX_LR at 0.0231. Depth 12, width 512, document masking, dense value embeddings, batch 2**18, the Adam betas, WEIGHT_DECAY 0.2 and every schedule are unchanged.
t0029	t0017	explore	0.974423	300.200000	discard	One value changed on champion t0017: the terminal constant in get_muon_momentum from 0.95 to 0.92, with the 0.85 starting value and the 300-step warmup ramp untouched. The NorMuon second-moment beta2 of 0.95 in setup_optimizer is a separate quantity and is not changed, nor is MATRIX_LR at 0.0231. Depth 12, width 512, document masking, dense value embeddings, batch 2**18, Adam betas, WEIGHT_DECAY 0.2 and every schedule are unchanged.
t0030	t0017	explore	0.974557	300.100000	discard	One expression changed on champion t0017: short_window in GPT._compute_window_sizes from long_window // 4 back to long_window // 2, so the nine S layers of the SSSL pattern at depth 12 attend over 1024 tokens instead of 512. The three L layers stay at the full 2048 context and the pattern itself is unchanged. Depth 12, width 512, document masking, dense value embeddings, batch 2**18, all learning rates, WEIGHT_DECAY 0.2 and every schedule are unchanged.
t0031	t0017	explore	0.973163	300.000000	keep	One constant changed on champion t0017: CausalSelfAttention.ve_gate_channels from 32 to 128, so each of the twelve ve_gate projections reads the first 128 residual channels instead of the first 32. Parameter count rises by 384 weights per gated layer, a rounding error against 96M, and the per-token FLOP change is negligible. The gate form, the doubling through sigmoid, dense value embeddings, depth 12, width 512, document masking, the 512-token short window, batch 2**18, all learning rates, WEIGHT_DECAY 0.2 and every schedule are unchanged.
t0032	t0031	explore	0.975306	300.100000	discard	One expression changed on champion t0031: ve_gate_channels from the literal 128 to self.n_embd, which is 512 here, so each of the twelve ve_gate projections reads the whole residual vector instead of its first 128 channels and x[..., :self.ve_gate_channels] becomes the full x. Each gate projection grows from 128x4 to 512x4 weights, adding about 18K parameters across the model against 96M. Dense value embeddings, depth 12, width 512, document masking, the 512-token short window, batch 2**18, all learning rates, WEIGHT_DECAY 0.2 and every schedule are unchanged.
t0033	t0031	explore	0.976978	300.100000	discard	One default changed on champion t0031: the base argument of GPT._precompute_rotary_embeddings from 10000 to 1000. Both call sites, in __init__ and in init_weights, use the default, so the whole rotary table is rebuilt at the new base. The slowest wavelength is still about 6283 positions, comfortably longer than the 2048 maximum context, so no position wraps within a sequence. Head dimension 128, the 512-token short window, the SSSL pattern, document masking, dense value embeddings with the 128-channel gate, depth 12, width 512, batch 2**18, all learning rates and every schedule are unchanged.
t0034	t0031	explore	0.973097	300.150000	keep	One default changed on champion t0031: the base argument of GPT._precompute_rotary_embeddings from 10000 to 30000, rebuilding the rotary table at both call sites. Everything else matches the champion: head dimension 128, the 512-token short window with the SSSL pattern, document masking, dense value embeddings with the 128-channel gate, depth 12, width 512, batch 2**18, all learning rates, WEIGHT_DECAY 0.2 and every schedule.
t0035	t0034	recombine	0.973765	300.100000	discard	One constant changed on champion t0034: ve_gate_channels from 128 to 256, so each of the twelve value-embedding gates reads the first 256 residual channels instead of 128. The rotary base stays at the champion value of 30000, which the elites jointly show to be equivalent to 10000. Dense value embeddings, depth 12, width 512, document masking, the 512-token short window, batch 2**18, all learning rates, WEIGHT_DECAY 0.2 and every schedule are unchanged.
t0036	t0034	explore	0.977341	300.100000	discard	One constant changed on champion t0034: the softcap used in GPT.forward from 15 to 30, applied identically as softcap*tanh(logits/softcap) after the float32 cast. Nothing else moves: the value-embedding gate stays at its measured optimum of 128 channels, rotary base stays 30000, depth 12, width 512, document masking, dense value embeddings, the 512-token short window, batch 2**18, all learning rates, WEIGHT_DECAY 0.2 and every schedule are unchanged.
t0037	t0034	explore	0.972704	300.050000	keep	One constant changed on champion t0034: the softcap in GPT.forward from 15 to 10, keeping the same softcap*tanh(logits/softcap) form after the float32 cast. The value-embedding gate stays at its measured optimum of 128 channels, rotary base stays 30000, and depth 12, width 512, document masking, dense value embeddings, the 512-token short window, batch 2**18, all learning rates, WEIGHT_DECAY 0.2 and every schedule are unchanged.
t0038	t0037	refine	0.977910	300.000000	discard	One constant changed on champion t0037: the softcap in GPT.forward from 10 to 7, keeping the softcap*tanh(logits/softcap) form applied after the float32 cast. The value-embedding gate stays at 128 channels, rotary base at 30000, and depth 12, width 512, document masking, dense value embeddings, the 512-token short window, batch 2**18, all learning rates, WEIGHT_DECAY 0.2 and every schedule are unchanged.
t0039	t0037	explore	0.975856	300.100000	discard	One learning rate changed on champion t0037: UNEMBEDDING_LR from 0.002828 to 0.002, affecting only the lm_head AdamW group. EMBEDDING_LR stays 0.6, MATRIX_LR stays 0.0231 and the value-embedding group is untouched. The softcap stays at its measured optimum of 10, the value-embedding gate at 128 channels, rotary base at 30000, and depth 12, width 512, document masking, dense value embeddings, batch 2**18, WEIGHT_DECAY 0.2 and every schedule are unchanged.
t0040	t0037	refine	0.973969	300.100000	discard	One learning rate changed on champion t0037: UNEMBEDDING_LR from 0.002828 back to 0.004, the value the recipe shipped with, affecting only the lm_head AdamW group. EMBEDDING_LR stays 0.6, MATRIX_LR stays 0.0231, and the softcap stays at its measured optimum of 10, the value-embedding gate at 128 channels, rotary base at 30000, with depth 12, width 512, document masking, dense value embeddings, batch 2**18, WEIGHT_DECAY 0.2 and every schedule unchanged. This completes the decomposition of the t0004 bundle: all three rates will then have been tested individually at the current operating point.
t0041	t0037	explore	0.972811	300.000000	discard	One argument changed on champion t0037: the beta2 passed to the Muon parameter groups in setup_optimizer from 0.95 to 0.98, which feeds second_momentum_buffer.lerp_ inside muon_step_fused. The Muon momentum stays at its bracketed optimum of 0.95 and ns_steps stays 5, so only the variance-reduction horizon moves. The AdamW betas are a separate constant and are unchanged, as are the softcap of 10, the 128-channel value-embedding gate, rotary base 30000, depth 12, width 512, document masking, dense value embeddings, batch 2**18, all learning rates, WEIGHT_DECAY 0.2 and every schedule.
t0042	t0037	recombine	0.975442	300.200000	discard	Kernel-level mechanism added to champion t0037: a module-level ATTN_SOFTCAP constant of 10.0 passed to the softcap argument of both fa3 call sites, the dense flash_attn_func path and the document-masked flash_attn_varlen_func path that the champion actually uses. The cap is applied inside the kernel, so it costs no extra memory traffic and no separate elementwise pass. Everything else matches the champion: output softcap 10, value-embedding gate 128 channels, rotary base 30000, depth 12, width 512, document masking, dense value embeddings, batch 2**18, all learning rates, WEIGHT_DECAY 0.2 and every schedule.
t0043	t0037	explore	0.973143	300.000000	discard	Kernel-argument change on champion t0037: a module-level ATTN_SCALE constant of 1.5 multiplying the softmax_scale passed to both fa3 call sites, so the attention temperature becomes 1.5/sqrt(head_dim) instead of the implicit 1/sqrt(head_dim). The attention softcap from t0042 is not carried forward, since it regressed. Everything else matches the champion: output softcap 10, value-embedding gate 128 channels, rotary base 30000, depth 12, width 512, document masking, dense value embeddings, the 512-token short window, batch 2**18, all learning rates, WEIGHT_DECAY 0.2 and every schedule.
t0044	t0037	explore	-	-	failed	Architectural change on champion t0037: each attention module gains q_scale of shape n_head and k_scale of shape n_kv_head, both initialised to 1.0 and applied immediately after the existing RMS normalisation of q and k. They are registered as their own AdamW group at scalar_lr times 0.01, the conservative rate this recipe uses for resid_lambdas, and are explicitly excluded from matrix_params so the Muon path never receives a 1-D tensor. The parameter-count assertion is updated. This adds 96 scalars across the model. Output softcap 10, value-embedding gate 128, rotary base 30000, depth 12, width 512, document masking, dense value embeddings, batch 2**18, all learning rates and every schedule are unchanged, and neither the t0042 softcap nor the t0043 global rescale is carried forward.
t0045	t0044	debug	0.972759	300.100000	discard	Debug repair of t0044 with the mechanism intact. The only change is that each scale is cast to the activation dtype at the point of use, q * q_scale.view(1, 1, -1, 1).to(q.dtype) and the same for k, so the multiply stays in bf16 and the kernel receives the dtype it requires. The parameters themselves remain fp32, so optimizer state and update precision are unaffected, and the cast is differentiable so gradients still reach them. Everything else is as in t0044: per-head q_scale and k_scale initialised to 1.0, registered as their own AdamW group at scalar_lr times 0.01, excluded from matrix_params so Muon never sees a 1-D tensor, with the parameter-count assertion updated.
t0046	t0037	explore	0.972982	300.100000	discard	Architectural change on champion t0037: each attention module gains attn_gate, a bias-free Linear from ve_gate_channels of 128 to n_head, whose zero-initialised weights make 2*sigmoid(0) equal 1.0 so the model starts mathematically identical to the champion. In forward, the fa3 output is multiplied per head by that gate before the reshape into c_proj, with the gate cast to the activation dtype to avoid the bf16 to fp32 promotion that broke t0044. The gate is a 2-D Linear so it joins matrix_params and is optimised by Muon exactly as ve_gate already is, requiring no change to the parameter-count assertion. This adds 128 times 4 weights per layer, about 6K across the model. The per-head temperature scales from t0045 are not carried forward, since they measured a null. Output softcap 10, value-embedding gate 128, rotary base 30000, depth 12, width 512, document masking, dense value embeddings, batch 2**18, all learning rates and every schedule are unchanged.
t0047	t0037	explore	0.974299	300.000000	discard	Architectural change on champion t0037: the MLP expansion factor from 4 to 5 in both projections, so c_fc maps 512 to 2560 and c_proj maps 2560 back to 512, instead of 2048. Depth stays 12 and width stays 512, so the value-embedding tables, attention parameters and the rest of the model are untouched, which makes this a pure test of the attention-to-MLP allocation at fixed depth. The attention output gate from t0046 and the per-head scales from t0045 are not carried forward, both having measured at or below parity. Output softcap 10, value-embedding gate 128, rotary base 30000, document masking, dense value embeddings, batch 2**18, all learning rates, WEIGHT_DECAY 0.2 and every schedule are unchanged.
t0048	t0037	explore	0.972662	300.050000	keep	One constant changed on champion t0037: FINAL_LR_FRAC from 0.0 to 0.1, so get_lr_multiplier interpolates from full rate down to a tenth of it across the warmdown phase instead of down to zero. WARMDOWN_RATIO stays at its bracketed optimum of 0.5 and WARMUP_RATIO stays 0.0. The MLP expansion from t0047, the attention gate from t0046 and the per-head scales from t0045 are not carried forward. Output softcap 10, value-embedding gate 128, rotary base 30000, depth 12, width 512, document masking, dense value embeddings, batch 2**18, all learning rates, WEIGHT_DECAY 0.2 and the weight-decay schedule are unchanged.
t0049	t0048	recombine	0.975154	300.200000	discard	One function changed on champion t0048: get_weight_decay now returns WEIGHT_DECAY times get_lr_multiplier(progress) instead of WEIGHT_DECAY times (1 - progress). Because the rate multiplier is flat at 1.0 through the first half of the budget and then decays to the 0.1 floor, decay now holds at 0.2 during the stable phase and falls to 0.02 at the end, rather than declining linearly from 0.2 to 0 from the first step. Only the Muon matrix groups are affected since the AdamW groups run at weight_decay 0. WEIGHT_DECAY stays at its bracketed optimum of 0.2, FINAL_LR_FRAC stays 0.1, WARMDOWN_RATIO stays 0.5, and depth 12, width 512, document masking, dense value embeddings with the 128-channel gate, output softcap 10, rotary base 30000, batch 2**18 and all learning rates are unchanged.
t0050	t0048	refine	0.973772	300.100000	discard	Two coordinated edits on champion t0048 that together express one change of schedule shape at constant total decay: get_weight_decay returns WEIGHT_DECAY times get_lr_multiplier(progress) instead of WEIGHT_DECAY times (1 - progress), and WEIGHT_DECAY moves from 0.2 to 0.135, the value computed to equate the integral of lr times wd across the two schedules. Only the Muon matrix groups are affected. FINAL_LR_FRAC stays 0.1, WARMDOWN_RATIO stays 0.5, and depth 12, width 512, document masking, dense value embeddings with the 128-channel gate, output softcap 10, rotary base 30000, batch 2**18 and all learning rates are unchanged.
t0051	t0048	refine	0.971944	300.050000	keep	Coordinated move along the established batch-versus-rate scaling line on champion t0048: TOTAL_BATCH_SIZE from 2**18 to 2**17 with DEVICE_BATCH_SIZE from 128 to 64 so gradient accumulation stays at exactly 1, and EMBEDDING_LR 0.6 to 0.4243, UNEMBEDDING_LR 0.002828 to 0.002, MATRIX_LR 0.0231 to 0.0163, each divided by sqrt(2). Depth 12, width 512, document masking, dense value embeddings with the 128-channel gate, output softcap 10, rotary base 30000, WEIGHT_DECAY 0.2 with its original declining schedule, FINAL_LR_FRAC 0.1 and WARMDOWN_RATIO 0.5 are unchanged.
t0052	t0051	explore	0.975888	300.000000	discard	A second step along the same scaling line on champion t0051: TOTAL_BATCH_SIZE from 2**17 to 2**16 with DEVICE_BATCH_SIZE from 64 to 32 so gradient accumulation stays at 1, and EMBEDDING_LR 0.4243 to 0.3, UNEMBEDDING_LR 0.002 to 0.001414, MATRIX_LR 0.0163 to 0.0115, each divided by sqrt(2) again. Depth 12, width 512, document masking, dense value embeddings with the 128-channel gate, output softcap 10, rotary base 30000, WEIGHT_DECAY 0.2 with its declining schedule, FINAL_LR_FRAC 0.1 and WARMDOWN_RATIO 0.5 are unchanged.
t0053	t0051	refine	0.971630	300.050000	keep	One learning rate changed on champion t0051: EMBEDDING_LR from 0.4243 back to 0.6, affecting the AdamW group that holds transformer.wte and all twelve value-embedding tables, roughly 54M parameters and the largest block in the model. UNEMBEDDING_LR stays 0.002 and MATRIX_LR stays 0.0163, both of which keep the sqrt(2) rescale that accompanied the batch halving. TOTAL_BATCH_SIZE stays 2**17 with DEVICE_BATCH_SIZE 64, and depth 12, width 512, document masking, dense value embeddings with the 128-channel gate, output softcap 10, rotary base 30000, WEIGHT_DECAY 0.2, FINAL_LR_FRAC 0.1 and WARMDOWN_RATIO 0.5 are unchanged.
t0054	t0053	refine	0.971690	300.000000	discard	One learning rate changed on champion t0053: UNEMBEDDING_LR from 0.002 back to 0.002828, the value bracketed as optimal at batch 2**18, affecting only the lm_head AdamW group. EMBEDDING_LR stays at its twice-confirmed 0.6 and MATRIX_LR stays at 0.0163, keeping the square-root rescale for the Muon group alone. TOTAL_BATCH_SIZE stays 2**17 with DEVICE_BATCH_SIZE 64, and depth 12, width 512, document masking, dense value embeddings with the 128-channel gate, output softcap 10, rotary base 30000, WEIGHT_DECAY 0.2, FINAL_LR_FRAC 0.1 and WARMDOWN_RATIO 0.5 are unchanged.
t0055	t0053	explore	0.974787	300.000000	discard	One learning rate changed on champion t0053: MATRIX_LR from 0.0163 back to 0.0231, the value used at batch 2**18, affecting only the Muon matrix groups. EMBEDDING_LR stays at its twice-confirmed 0.6 and UNEMBEDDING_LR stays 0.002, which measured flat against 0.002828 at this batch. TOTAL_BATCH_SIZE stays 2**17 with DEVICE_BATCH_SIZE 64, and depth 12, width 512, document masking, dense value embeddings with the 128-channel gate, output softcap 10, rotary base 30000, WEIGHT_DECAY 0.2, FINAL_LR_FRAC 0.1 and WARMDOWN_RATIO 0.5 are unchanged.
t0056	t0053	recombine	0.972701	300.100000	discard	One constant changed on champion t0053: the divisor in get_muon_momentum from 300 to 850, so momentum still ramps from 0.85 to a terminal 0.95 but reaches it after 850 steps instead of 300, which is 30 percent of the current 2838-step run rather than 10.6 percent. The terminal value stays at its bracketed optimum of 0.95 and NorMuon beta2 stays 0.95. The two elite lines contribute their settled rates: EMBEDDING_LR 0.6 unscaled from the twice-confirmed decomposition, UNEMBEDDING_LR 0.002 which measured flat against 0.002828 in t0054, and MATRIX_LR 0.0163 which t0055 confirmed must carry the square-root rescale. Batch 2**17, depth 12, width 512, document masking, dense value embeddings with the 128-channel gate, output softcap 10, rotary base 30000, WEIGHT_DECAY 0.2, FINAL_LR_FRAC 0.1 and WARMDOWN_RATIO 0.5 are unchanged.
t0057	t0053	explore	0.971680	300.100000	discard	One constant changed on champion t0053: the divisor in get_muon_momentum from 300 to 150, so momentum ramps from 0.85 to its terminal 0.95 over the first 150 steps instead of 300. The terminal value stays at its bracketed optimum of 0.95, NorMuon beta2 stays 0.95, and the settled rates from the decomposition are unchanged: EMBEDDING_LR 0.6 unscaled, UNEMBEDDING_LR 0.002, MATRIX_LR 0.0163 carrying the square-root rescale that t0055 confirmed is specific to the Muon group. Batch 2**17, depth 12, width 512, document masking, dense value embeddings with the 128-channel gate, output softcap 10, rotary base 30000, WEIGHT_DECAY 0.2, FINAL_LR_FRAC 0.1 and WARMDOWN_RATIO 0.5 are unchanged.
