node_id	val_bpb	memory_gb	status	description
94ae5966	0.970422	66.5	discard	Muon momentum warmup stretched from 300 to 500 steps. The schedule was set for a ~1000-step run; this one does ~1310.
c9015b04	0.969852	66.5	discard	Muon momentum warmup shortened to 150 steps, bracketing the schedule downward.
5f8207b9	0.972399	66.5	discard	RoPE base 50000 -> 25000, refining between the winning 50000 and the baseline 10000.
5b48cc39	0.970734	66.5	discard	RoPE base 50000 -> 75000, refining between the winning 50000 and the losing 100000.
eccb9e53	0.970014	66.5	discard	FINAL_LR_FRAC 0.05 -> 0.025. 0.05 beat both 0.0 and 0.1, so the optimum is inside (0, 0.1).
91031295	0.971535	60.5	discard	DEPTH 10 -> 9. ASPECT_RATIO rounding keeps model_dim at 640, so this is a pure depth change at constant width - the one interior point the earlier sweep skipped.
b79a77ea	0.973621	68.3	discard	Value embeddings on every layer instead of alternating. Doubles VE coverage; the ResFormer value-residual path has never been varied.
c664c3e8	0.995024	69.6	discard	MLP activation relu-squared -> gelu. The activation has been fixed since the baseline and is untested.
56eddb52	0.970258	66.5	discard	Rotary table length 10x sequence_len -> 4x. Pairs with the RoPE base-frequency win; the table extent is a separate untested knob.
87e5ba8e	0.969986	66.5	discard	FINAL_LR_FRAC 0.05 -> 0.075, bracketing the winner from above.
6716348b	0.970303	66.5	discard	EMBEDDING_LR 0.9 -> 0.95, refining between the winning 0.9 and the losing 1.0.
2f9c8911	0.970723	66.5	discard	ADAM_BETAS beta2 0.95 -> 0.99. Only beta1 has been probed; beta2 is untouched.
90e562b0	0.974136	66.5	discard	Muon momentum range 0.85->0.95 raised to 0.90->0.98. The endpoints are untested; only the warmup length has been probed.
4910ff00	0.970081	66.5	discard	Muon momentum range lowered to 0.80->0.92, bracketing the endpoints downward.
9bb20566	0.970326	66.5	discard	WEIGHT_DECAY 0.15 -> 0.2 on the current lineage. Reverting to 0.1 lost 0.0019 here, which conflicts with the earlier flat reading; this probes the other side.
5fc8be22	0.973186	62.4	discard	MLP expansion 4x -> 3x. Cuts MLP FLOPs ~25%, trading capacity for steps - the capacity/throughput tradeoff at a different lever than DEPTH.
5a796892	0.972615	76.9	discard	MLP expansion 4x -> 5x, bracketing the ratio upward since DEPTH showed capacity pays here.
e5eaf62e	0.972476	60.2	discard	MLP expansion 4x -> 3x. Cuts MLP FLOPs ~25%, trading capacity for steps - the capacity/throughput tradeoff at a different lever than DEPTH.
b9b7e7c0	0.984331	60.2	discard	Remove QK normalisation before attention. A load-bearing primitive like the relu-squared activation, never varied; worth knowing whether it earns its cost.
a2ba9db4	0.979710	69.6	discard	MLP activation relu-squared -> relu-cubed. GeLU lost 0.0254, so the squaring is doing real work; this probes whether the exponent itself is tuned.
96c9459e	0.970903	35.4	discard	DEVICE_BATCH_SIZE 128 -> 64 at unchanged TOTAL_BATCH_SIZE, so grad_accum_steps goes 1 -> 2. Same optimizer batch, different micro-batching: a pure throughput/memory probe.
a07320f0	0.970103	70.9	discard	float32 matmul precision high -> highest. Trades throughput for numerical precision in the fp32 paths; untested.
e460cd75	0.987549	66.8	discard	RETEST at the current operating point: TOTAL_BATCH_SIZE 2**18 -> 2**19. The batch optimum was fixed before the RoPE, embedding-LR, final-LR and weight-decay wins existed; this is the campaign's larges
7ab2edea	0.974153	33.5	discard	RETEST: TOTAL_BATCH_SIZE 2**18 -> 2**17 with DEVICE_BATCH_SIZE 64 to keep grad_accum at 1. Probes the other side of the batch axis at the current operating point.
1e2efedd	0.979108	98.3	discard	RETEST: DEPTH 10 -> 12 at the current operating point. Capacity lost at 135M when tested against the old configuration; the LR set has changed substantially since.
07cffa19	0.974911	78.8	discard	RETEST: width 640 -> 768 at DEPTH 10 and the current operating point. Lost by 0.0036 against the old configuration.
8e2b73eb	0.974808	78.8	discard	RETEST: width 640 -> 768 at DEPTH 10 and the current operating point. Lost by 0.0036 against the old configuration.
680db4df	0.976169	87.4	discard	CONSTANT-CAPACITY SHAPE: MLP 4x -> 3x with DEPTH 10 -> 12 (~91M vs 85.9M). Leaner MLP, more layers. Both changes lost alone; the question is whether the parameters are better spent on depth than on ML
3f3f3654	0.972248	66.2	discard	CONSTANT-CAPACITY SHAPE: MLP 4x -> 5x with DEPTH 10 -> 9 (~88M vs 85.9M, width stays 640). Fatter MLP, fewer layers - the opposite allocation to cmp_mlp3_d12.
ffb6c87d	0.969663	66.5	discard	AUTO-REPLICATE of 44c84533 (no applicable untried lever). Adds a sample to the run-to-run noise estimate.
7fcec1f0	0.969626	66.5	keep	AUTO-REPLICATE of 44c84533 (no applicable untried lever). Adds a sample to the run-to-run noise estimate.
e9298573	0.974398	71.3	discard	CONSTANT-CAPACITY SHAPE (corrected): DEPTH 12 with ASPECT_RATIO 48 to hold model_dim at 640, plus MLP 4x -> 3x. ~91M vs 85.9M. Replaces cmp_mlp3_d12, which unintentionally widened to 768 and landed at
ecd181ff	0.969792	66.5	discard	AUTO-REPLICATE of 7fcec1f0 (no applicable untried lever). Adds a sample to the run-to-run noise estimate.
bed88008	0.969889	66.5	discard	AUTO-REPLICATE of 7fcec1f0 (no applicable untried lever). Adds a sample to the run-to-run noise estimate.
1721e365	0.969819	66.5	discard	AUTO-REPLICATE of 7fcec1f0 (no applicable untried lever). Adds a sample to the run-to-run noise estimate.
2197088a	0.974595	71.3	discard	CONSTANT-CAPACITY SHAPE (corrected): DEPTH 12 with ASPECT_RATIO 48 to hold model_dim at 640, plus MLP 4x -> 3x. ~91M vs 85.9M. Replaces cmp_mlp3_d12, which unintentionally widened to 768 and landed at
bd73f21f	0.970007	66.5	discard	AUTO-REPLICATE of 7fcec1f0 (no applicable untried lever). Adds a sample to the run-to-run noise estimate.
00edc0f1	0.969726	66.5	discard	AUTO-REPLICATE of 7fcec1f0 (no applicable untried lever). Adds a sample to the run-to-run noise estimate.
aab87a43	0.969734	66.5	discard	AUTO-REPLICATE of 7fcec1f0 (no applicable untried lever). Adds a sample to the run-to-run noise estimate.
d263a34d	0.969641	66.5	discard	AUTO-REPLICATE of 7fcec1f0 (no applicable untried lever). Adds a sample to the run-to-run noise estimate.
a507160f	0.972412	66.5	discard	SEED VARIANCE MEASUREMENT (seed 43, not an improvement). Replicates so far hold the seed at 42 and capture only kernel nondeterminism and step jitter; this additionally varies initialisation and data 
db7342cc	0.971373	66.5	discard	SEED VARIANCE MEASUREMENT (seed 137, not an improvement). Replicates so far hold the seed at 42 and capture only kernel nondeterminism and step jitter; this additionally varies initialisation and data
143ceea2	0.972270	66.5	discard	SEED VARIANCE MEASUREMENT (seed 2024, not an improvement). Replicates so far hold the seed at 42 and capture only kernel nondeterminism and step jitter; this additionally varies initialisation and dat
42465468	0.969615	66.5	keep	AUTO-REPLICATE of 7fcec1f0 (no applicable untried lever). Adds a sample to the run-to-run noise estimate.
eb0727f4	0.969654	66.5	discard	AUTO-REPLICATE of 42465468 (no applicable untried lever). Adds a sample to the run-to-run noise estimate.
6d50fbc7	0.970127	66.5	discard	AUTO-REPLICATE of 42465468 (no applicable untried lever). Adds a sample to the run-to-run noise estimate.
51333356	0.990118	44.0	discard	SEED-PAIRED BASELINE (seed 137, not an improvement). Pristine baseline at seed 137; third attempt - the first two were aborted by tenants arriving mid-run.
137deafa	0.989440	44.0	discard	SEED-PAIRED BASELINE (seed 43, not an improvement). Pristine baseline at seed 43; third attempt - the first two were aborted by tenants arriving mid-run.
586597ce	0.991566	44.0	discard	SEED-PAIRED BASELINE (seed 2024, not an improvement). Completes the seed-paired arm; 42/43/137 are measured.
c5b3032b	0.970386	66.2	discard	AUTO-REPLICATE of 42465468 (rendezvous timeout fallback). Byte-identical source; adds a sample to the run-to-run noise estimate.
2f36e383	0.971180	66.2	discard	ABLATION of 44c84533: revert FINAL_LR_FRAC 0.05 -> 0.0. Upstream's stage 4 is systematic component analysis - remove each adopted change from the FINAL configuration and measure its contribution there
d3f0110e	0.970057	66.2	discard	AUTO-REPLICATE of 42465468 (rendezvous timeout fallback). Byte-identical source; adds a sample to the run-to-run noise estimate.
b07eeb76	0.977734	48.5	discard	ABLATION of 44c84533: revert DEPTH 10 -> 8 (also reverts width 640 -> 512 via ASPECT_RATIO). Upstream's stage 4 is systematic component analysis - remove each adopted change from the FINAL configurati
8133a1a5	0.970862	66.2	discard	AUTO-REPLICATE of 42465468 (rendezvous timeout fallback). Byte-identical source; adds a sample to the run-to-run noise estimate.
7bd5b482	0.972013	66.2	discard	ABLATION of 44c84533: revert max-autotune compile -> default. Upstream's stage 4 is systematic component analysis - remove each adopted change from the FINAL configuration and measure its contribution
5ca39067	0.969822	66.2	discard	AUTO-REPLICATE of 42465468 (rendezvous timeout fallback). Byte-identical source; adds a sample to the run-to-run noise estimate.
003d6c02	0.977436	66.2	discard	ABLATION of 44c84533: revert short-attention span seq/8 -> seq/2. Re-run after tightening the contention threshold to 4GB - the first attempt passed the old 10GB bar at 4.6-7.8GB foreign and came back
aae46fa6	0.987332	66.5	discard	ABLATION of 44c84533: revert TOTAL_BATCH_SIZE 2**18 -> 2**19. Re-run after tightening the contention threshold to 4GB - the first attempt passed the old 10GB bar at 4.6-7.8GB foreign and came back wit
cc382eea	0.000000	66.2	crash	AUTO-REPLICATE of 42465468 (rendezvous timeout fallback). Byte-identical source; adds a sample to the run-to-run noise estimate.
62685879	0.000000	0.0	crash	AUTO-REPLICATE of 44c84533 (no applicable untried lever). Adds a sample to the run-to-run noise estimate.
510719e1	0.000000	0.0	crash	AUTO-REPLICATE of 44c84533 (no applicable untried lever). Adds a sample to the run-to-run noise estimate.
6433f10a	0.000000	70.9	crash	AUTO-REPLICATE of 44c84533 (no applicable untried lever). Adds a sample to the run-to-run noise estimate.
c57e4d13	0.000000	66.2	crash	AUTO-REPLICATE of 44c84533 (no applicable untried lever). Adds a sample to the run-to-run noise estimate.
325efc6d	0.971068	66.2	discard	AUTO-REPLICATE of 44c84533 (no applicable untried lever). Adds a sample to the run-to-run noise estimate.
cc9f7a8b	0.000000	66.2	crash	AUTO-REPLICATE of 44c84533 (no applicable untried lever). Adds a sample to the run-to-run noise estimate.
3370b565	0.000000	0.0	crash	AUTO-REPLICATE of 44c84533 (no applicable untried lever). Adds a sample to the run-to-run noise estimate.
2fcfcf06	0.000000	66.2	crash	AUTO-REPLICATE of 44c84533 (no applicable untried lever). Adds a sample to the run-to-run noise estimate.
